en,es
"Background color, blue component The blue component of the background color.",Puede quitar el control de volumen del panel pulsando con el botón derecho sobre el icono del altavoz en el panel y seleccionando «Quitar del panel» del menú.
History list List of GConfValue entries containing strings for history entries.,Falló al iniciar el control de volumen: %s %s: silenciado %s: %d%% Falló al mostrar la ayuda: %s Control de volumen para su Panel de GNOME.
"This per-applet key is deprecated in favour of the global key, /schemas/apps/mini-commander-global/macro_patterns.",Usando GStreamer 0.10.
Browser Click this button to start the browser History Click this button for the list of previous commands Command line has been disabled by your system administrator Mini-Commander applet This applet adds a command line to the panel You must specify a pattern You must specify a pattern and a command You must specify a command You may not specify duplicate patterns Pattern Command Volume Control Adjust the sound volume Mu_te _Open Volume Control Volume Applet The volume control did not find any elements and/or devices to control.,Control de volumen Control de volumen desconocido %d Canal controlado por la miniaplicación.
"This means either that you don't have the right GStreamer plugins installed, or that you don't have a sound card configured.",Sólo para configuraciones de OSS Estado de silencio guardado Volumen guardado para restaurar durante el inicio Preferencias del control de volumen Seleccione el dispositivo y pista para controlar.
"You can remove the volume control from the panel by right-clicking the speaker icon on the panel and selecting ""Remove From Panel"" from the menu.","Monitor del módem Activar y monitorizar una conexión de marcado telefónico _Activar _Desactivar _Propiedades Conexión activa, pero no se pudo obtener el tiempo de conexión Tiempo conectado: %.1d:%.2d Desconectado Para conectarse a su proveedor de servicios de Internet, necesita privilegios de administrador Para desconectarse de su proveedor de servicios de Internet, necesita privilegios de administrador La contraseña introducida no es válida Comprueba que la ha tecleado correctamente y que no ha activado la tecla «Bloq."
Failed to start Volume Control: %s %s: muted %s: %d%% Failed to display help: %s Volume control for your GNOME Panel.,Mayús.» ¿Desea conectarse?
Using GStreamer 0.10.,¿Desea desconectarse?
Volume Control...,C_onectar _Desconectar No se pudo lanzar la herramienta de configuración de red Comprueba que está instalado en la ruta correcta y que tienen los permisos correctos Miniaplicación para activar y monitorizar una conexión de red de marcado telefónico.
Unknown Volume Control %d Channel controlled by applet.,"Introduzca la contraseña Contraseña: Conectando con el proveedor de servicios de Internet Monitor del sistema Un indicador de carga del sistema Abrir el m_onitor del sistema Un monitor de carga del sistema capaz de mostrar gráficos para la CPU, RAM y del uso del espacio intercambio, además del tráfico de red."
Only for OSS setups Saved mute state Saved volume to restore on startup Volume Control Preferences Select the device and track to control.,"Ha ocurrido un error al ejecutar «%s» : %s Procesador Memoria Red Espacio de intercambio Carga media Disco %s: %u%% en uso por programas %u%% en uso como caché La carga media del sistema es del %0.02f Carga CPU Carga de memoria Carga de red Carga del intercambio Carga del disco Activar el gráfico de carga de CPU Activar el gráfico de carga de memoria Activar el gráfico de carga de la red Activar el gráfico de carga de intercambio Activar el gráfico de promedio de carga Activar el gráfico de carga de disco Tasa de refresco de la miniaplicación en milisegundos Tamaño del gráfico Para los paneles horizontales, el ancho de los gráficos en píxeles, para los paneles verticales, esto es la altura de los gráficos."
